,co_owned,southj,centralj,pa1,pa2,wage_st,hrsopen,wage_st2,hrsopen2,emptot,emptot2,nj,pa,bk,kfc,roys,wendys,pmeal,pmeal2,closed
0,0,0,0,1,0,,16.5,4.3,16.5,40.5,24.0,0.0,1.0,1.0,0.0,0.0,0.0,2.58,,0.0
1,0,0,0,1,0,,13.0,4.45,13.0,13.75,11.5,0.0,1.0,0.0,1.0,0.0,0.0,4.2599998,4.25,0.0
2,1,0,0,1,0,,10.0,5.0,11.0,8.5,10.5,0.0,1.0,0.0,1.0,0.0,0.0,4.02,4.02,0.0
3,1,0,0,1,0,5.0,12.0,5.25,12.0,34.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,3.48,2.58,0.0
4,1,0,0,1,0,5.5,12.0,4.75,12.0,24.0,35.5,0.0,1.0,0.0,0.0,0.0,1.0,3.29,2.8,0.0
5,1,0,0,1,0,5.0,12.0,,12.0,20.5,,0.0,1.0,0.0,0.0,0.0,1.0,2.59,,0.0
6,0,0,0,0,1,5.0,18.0,4.75,18.0,70.5,29.0,0.0,1.0,1.0,0.0,0.0,0.0,2.86,2.84,0.0
7,0,0,0,0,1,5.0,24.0,5.0,24.0,23.5,36.5,0.0,1.0,1.0,0.0,0.0,0.0,2.85,2.8899999,0.0
8,1,0,0,0,1,5.25,10.0,5.0,11.0,11.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,3.78,4.1,0.0
9,1,0,0,1,0,5.0,10.0,5.0,10.5,9.0,8.5,0.0,1.0,0.0,1.0,0.0,0.0,3.99,3.9499998,0.0
10,1,0,0,0,1,5.0,12.5,4.75,12.0,15.5,17.5,0.0,1.0,0.0,0.0,1.0,0.0,3.17,2.9099998,0.0
11,0,0,0,0,1,5.0,18.0,5.0,18.0,58.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,2.84,2.67,0.0
12,0,0,0,0,1,5.0,18.0,4.5,18.0,26.5,30.5,0.0,1.0,1.0,0.0,0.0,0.0,2.6,2.6,0.0
13,0,0,0,0,1,5.5,18.0,4.75,18.0,28.5,26.0,0.0,1.0,1.0,0.0,0.0,0.0,2.75,2.81,0.0
14,0,0,0,0,1,5.0,12.5,4.5,13.0,13.5,18.0,0.0,1.0,1.0,0.0,0.0,0.0,3.12,2.97,0.0
15,1,0,0,0,1,5.25,10.0,5.0,11.0,16.75,20.0,0.0,1.0,0.0,1.0,0.0,0.0,4.22,4.0,0.0
16,1,0,0,0,1,5.0,10.0,4.75,11.0,9.5,13.5,0.0,1.0,0.0,1.0,0.0,0.0,3.99,4.02,0.0
17,1,0,0,0,1,5.0,11.5,4.75,11.0,15.0,19.0,0.0,1.0,0.0,0.0,1.0,0.0,2.97,3.0,0.0
18,0,0,0,0,1,5.0,16.0,4.75,15.0,29.5,15.5,0.0,1.0,0.0,0.0,1.0,0.0,2.85,2.96,0.0
19,0,0,0,0,1,5.0,14.0,4.25,11.5,18.5,14.5,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.07,0.0
20,1,0,0,0,1,5.0,16.0,5.0,16.0,20.25,14.0,0.0,1.0,0.0,0.0,1.0,0.0,3.11,3.07,0.0
21,1,0,0,1,0,5.0,16.0,4.9,16.0,36.0,19.0,0.0,1.0,0.0,0.0,1.0,0.0,3.96,2.87,0.0
22,0,0,0,0,1,5.0,15.0,5.0,16.0,21.0,21.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.98,0.0
23,1,0,0,0,1,5.0,16.0,4.75,16.0,20.5,18.0,0.0,1.0,0.0,0.0,1.0,0.0,2.6799998,2.9099998,0.0
24,1,0,0,0,1,5.0,12.0,5.0,12.0,19.0,20.5,0.0,1.0,0.0,0.0,0.0,1.0,3.34,2.53,0.0
25,1,0,0,0,1,5.0,16.0,4.25,15.5,14.0,13.5,0.0,1.0,0.0,0.0,1.0,0.0,3.1599998,2.95,0.0
26,1,0,0,0,1,5.0,16.0,4.75,16.0,19.0,17.5,0.0,1.0,0.0,0.0,1.0,0.0,3.1499999,2.96,0.0
27,0,0,0,1,0,4.25,16.5,4.25,16.5,32.5,25.5,0.0,1.0,1.0,0.0,0.0,0.0,2.6599998,2.68,0.0
28,0,0,0,1,0,4.25,17.5,,16.5,19.0,15.5,0.0,1.0,1.0,0.0,0.0,0.0,2.28,,0.0
29,0,0,0,1,0,4.25,16.5,4.25,17.5,27.0,25.5,0.0,1.0,1.0,0.0,0.0,0.0,2.6,2.67,0.0
30,0,0,0,1,0,4.25,16.5,4.25,17.5,19.5,27.0,0.0,1.0,1.0,0.0,0.0,0.0,2.65,2.63,0.0
31,0,0,0,1,0,4.5,16.5,4.25,16.5,24.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,2.67,,0.0
32,0,0,0,1,0,4.25,16.0,4.25,17.5,18.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,2.67,2.5900002,0.0
33,0,0,0,1,0,4.5,17.0,4.25,18.0,,24.5,0.0,1.0,1.0,0.0,0.0,0.0,2.77,2.77,0.0
34,0,0,0,1,0,4.25,14.0,4.38,14.0,19.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,2.48,2.64,0.0
35,0,0,0,1,0,4.5,12.0,4.75,13.0,14.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,5.4,4.25,0.0
36,0,0,0,1,0,4.25,13.0,4.25,13.0,10.5,16.5,0.0,1.0,0.0,1.0,0.0,0.0,4.25,4.24,0.0
37,1,0,0,1,0,4.67,12.0,4.5,12.0,38.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,2.56,2.69,0.0
38,1,0,0,1,0,4.75,12.0,4.5,12.0,23.5,18.0,0.0,1.0,0.0,0.0,0.0,1.0,2.65,2.82,0.0
39,0,0,0,1,0,4.25,10.5,4.25,10.5,10.5,12.0,0.0,1.0,0.0,0.0,0.0,1.0,2.6100001,2.71,0.0
40,0,0,0,1,0,4.25,11.5,4.25,12.0,25.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,2.54,2.68,0.0
41,1,0,0,0,1,4.75,10.0,4.25,11.0,11.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,4.02,4.3199997,0.0
42,0,0,0,1,0,4.25,15.0,4.25,16.0,36.5,27.0,0.0,1.0,1.0,0.0,0.0,0.0,2.5,2.39,0.0
43,0,0,0,1,0,4.5,16.0,5.05,16.0,52.5,34.0,0.0,1.0,1.0,0.0,0.0,0.0,2.47,2.47,0.0
44,0,0,0,1,0,4.25,16.0,,16.0,29.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,2.48,2.42,0.0
45,0,0,0,1,0,4.25,16.0,4.25,16.0,45.0,37.5,0.0,1.0,1.0,0.0,0.0,0.0,,2.55,0.0
46,0,0,0,1,0,4.25,15.5,4.25,15.5,22.75,21.0,0.0,1.0,1.0,0.0,0.0,0.0,2.49,2.47,0.0
47,0,0,0,1,0,4.25,8.0,4.25,9.0,7.5,9.5,0.0,1.0,0.0,1.0,0.0,0.0,4.28,4.2200003,0.0
48,0,0,0,1,0,4.25,11.5,,11.5,15.5,18.0,0.0,1.0,0.0,0.0,0.0,1.0,3.69,3.6,0.0
49,0,0,0,1,0,4.25,11.5,4.25,11.5,38.0,18.0,0.0,1.0,0.0,0.0,0.0,1.0,2.5,3.61,0.0
50,0,0,0,1,0,4.25,11.5,4.35,11.5,17.5,19.0,0.0,1.0,0.0,0.0,0.0,1.0,3.48,3.61,0.0
51,0,0,0,1,0,4.25,12.5,4.5,11.5,25.0,31.5,0.0,1.0,0.0,0.0,0.0,1.0,2.53,,0.0
52,0,0,0,0,1,4.5,18.0,5.0,18.0,,23.0,0.0,1.0,1.0,0.0,0.0,0.0,2.81,2.72,0.0
53,0,0,0,0,1,4.75,18.0,4.5,18.0,21.0,24.5,0.0,1.0,1.0,0.0,0.0,0.0,2.72,2.6599998,0.0
54,0,0,0,0,1,4.87,18.0,5.0,18.0,15.5,27.5,0.0,1.0,1.0,0.0,0.0,0.0,,2.54,0.0
55,0,0,0,0,1,4.75,16.5,4.75,18.0,15.5,34.5,0.0,1.0,1.0,0.0,0.0,0.0,2.63,2.6100001,0.0
56,1,0,0,0,1,4.5,10.0,5.0,11.0,8.5,14.0,0.0,1.0,0.0,1.0,0.0,0.0,4.2,4.31,0.0
57,1,0,0,0,1,4.25,16.0,4.35,15.0,18.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,2.8899999,2.9099998,0.0
58,0,0,0,0,1,4.75,11.5,,11.5,20.75,23.0,0.0,1.0,0.0,0.0,0.0,1.0,2.68,,0.0
59,0,0,0,0,1,4.25,18.0,4.25,18.0,39.0,26.5,0.0,1.0,1.0,0.0,0.0,0.0,2.72,2.74,0.0
60,0,0,0,0,1,4.25,16.5,4.9,17.0,41.5,23.5,0.0,1.0,1.0,0.0,0.0,0.0,2.93,2.71,0.0
61,0,0,0,0,1,4.75,17.0,4.5,17.0,22.5,35.5,0.0,1.0,1.0,0.0,0.0,0.0,2.72,2.67,0.0
62,0,0,0,0,1,4.5,15.0,4.5,15.0,32.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,2.81,2.86,0.0
63,0,0,0,1,0,4.25,18.0,4.75,18.0,24.0,23.0,0.0,1.0,1.0,0.0,0.0,0.0,2.65,2.98,0.0
64,0,0,0,0,1,4.25,16.5,6.25,17.0,26.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,2.74,2.69,0.0
65,0,0,0,1,0,4.5,19.0,4.35,18.0,48.5,27.0,0.0,1.0,1.0,0.0,0.0,0.0,2.74,2.8,0.0
66,1,0,0,0,1,4.5,10.0,4.5,11.0,8.5,13.0,0.0,1.0,0.0,1.0,0.0,0.0,4.02,4.06,0.0
67,0,0,0,0,1,4.5,13.0,,,18.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.9099998,,1.0
68,1,0,0,0,1,4.5,12.5,4.5,12.5,13.0,13.5,0.0,1.0,0.0,0.0,1.0,0.0,3.1,3.27,0.0
69,1,0,0,0,1,4.5,12.0,,12.0,22.5,,0.0,1.0,0.0,0.0,0.0,1.0,2.59,2.7,0.0
70,1,0,0,0,1,4.75,12.0,5.0,12.0,28.0,26.75,0.0,1.0,0.0,0.0,0.0,1.0,2.6,2.72,0.0
71,0,0,0,0,1,4.25,16.5,4.75,18.0,24.5,43.5,0.0,1.0,1.0,0.0,0.0,0.0,2.62,2.85,0.0
72,0,0,0,0,1,4.75,16.5,4.5,18.0,18.5,41.25,0.0,1.0,1.0,0.0,0.0,0.0,2.72,2.81,0.0
73,1,0,0,0,1,4.25,16.0,,15.0,23.5,14.25,0.0,1.0,0.0,0.0,1.0,0.0,3.01,,0.0
74,1,0,0,0,1,4.75,16.5,4.75,15.0,15.0,12.5,0.0,1.0,0.0,0.0,1.0,0.0,2.97,2.9099998,0.0
75,0,0,0,0,1,4.5,16.0,4.25,16.0,18.0,34.0,0.0,1.0,0.0,0.0,1.0,0.0,2.78,2.9499998,0.0
76,1,0,0,0,1,4.75,16.0,4.91,14.0,20.25,10.0,0.0,1.0,0.0,0.0,1.0,0.0,3.01,2.85,0.0
77,0,0,0,1,0,4.25,16.5,4.4,16.0,15.5,14.0,0.0,1.0,1.0,0.0,0.0,0.0,,2.1399999,0.0
78,0,0,0,1,0,4.35,16.0,4.25,16.0,21.0,17.5,0.0,1.0,1.0,0.0,0.0,0.0,2.81,2.69,0.0
79,0,0,1,0,0,,16.0,5.05,16.0,15.0,27.0,1.0,0.0,1.0,0.0,0.0,0.0,3.01,2.9299998,0.0
80,0,0,1,0,0,,14.5,5.05,14.0,15.0,21.5,1.0,0.0,1.0,0.0,0.0,0.0,3.02,2.99,0.0
81,0,0,1,0,0,,12.5,5.05,11.5,24.0,23.0,1.0,0.0,0.0,0.0,1.0,0.0,,3.27,0.0
82,1,0,0,0,0,,11.5,5.05,11.5,19.25,21.5,1.0,0.0,0.0,0.0,1.0,0.0,3.25,3.16,0.0
83,0,0,0,0,0,,17.0,5.05,17.0,21.5,34.5,1.0,0.0,1.0,0.0,0.0,0.0,2.84,2.9499998,0.0
84,0,0,0,0,0,,11.0,5.05,11.0,9.5,10.5,1.0,0.0,0.0,1.0,0.0,0.0,4.04,4.34,0.0
85,0,0,0,0,0,,12.0,5.05,12.0,44.0,16.5,1.0,0.0,0.0,0.0,0.0,1.0,3.07,3.01,0.0
86,0,0,0,0,0,,16.0,5.05,16.0,,23.0,1.0,0.0,1.0,0.0,0.0,0.0,2.99,2.8,0.0
87,0,0,0,0,0,,17.0,5.05,18.0,21.0,38.0,1.0,0.0,1.0,0.0,0.0,0.0,3.2599998,3.1,0.0
88,0,1,0,0,0,,16.0,5.25,15.0,28.0,36.0,1.0,0.0,0.0,0.0,0.0,1.0,2.98,2.9,0.0
89,0,1,0,0,0,,14.0,,14.0,10.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,2.65,3.96,0.0
90,0,0,0,0,0,,16.0,5.05,16.0,20.5,20.5,1.0,0.0,1.0,0.0,0.0,0.0,2.96,2.9299998,0.0
91,1,0,0,0,0,,17.0,5.05,18.0,25.5,19.0,1.0,0.0,0.0,0.0,1.0,0.0,,3.21,0.0
92,0,0,0,0,0,,11.5,5.05,11.5,19.0,53.0,1.0,0.0,0.0,0.0,0.0,1.0,2.88,3.01,0.0
93,0,1,0,0,0,,16.0,5.05,16.0,16.5,16.5,1.0,0.0,1.0,0.0,0.0,0.0,2.73,2.76,0.0
94,1,1,0,0,0,,17.0,5.05,17.0,17.0,16.5,1.0,0.0,1.0,0.0,0.0,0.0,2.9,2.9299998,0.0
95,1,0,0,0,0,,19.0,5.05,18.5,27.5,45.0,1.0,0.0,1.0,0.0,0.0,0.0,3.15,3.1499999,0.0
96,1,0,1,0,0,5.0,7.0,5.05,8.0,5.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,4.72,4.35,0.0
97,0,0,1,0,0,5.12,11.0,5.05,11.0,16.0,15.5,1.0,0.0,0.0,1.0,0.0,0.0,4.4,4.5899997,0.0
98,0,0,0,0,0,5.56,16.0,5.05,16.0,41.5,24.0,1.0,0.0,1.0,0.0,0.0,0.0,2.95,2.8899999,0.0
99,1,0,1,0,0,5.0,10.0,5.05,10.0,13.0,7.5,1.0,0.0,0.0,1.0,0.0,0.0,4.25,4.42,0.0
100,0,0,0,0,0,5.0,10.0,5.05,10.0,10.0,7.5,1.0,0.0,0.0,1.0,0.0,0.0,4.6499996,4.55,0.0
101,0,0,1,0,0,5.25,11.0,5.05,12.5,15.0,18.5,1.0,0.0,0.0,1.0,0.0,0.0,4.6499996,4.69,0.0
102,0,0,0,0,0,5.0,17.0,5.05,17.0,26.0,16.5,1.0,0.0,0.0,0.0,1.0,0.0,3.04,3.2199998,0.0
103,0,0,1,0,0,5.5,13.0,5.05,12.5,18.0,33.5,1.0,0.0,0.0,0.0,0.0,1.0,4.5,3.03,0.0
104,0,0,0,0,0,5.0,19.0,5.05,19.0,35.0,37.0,1.0,0.0,0.0,0.0,1.0,0.0,3.42,3.1699998,0.0
105,1,0,0,0,0,5.0,17.0,5.05,16.0,21.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,3.1599998,3.17,0.0
106,0,0,0,0,0,5.0,12.0,5.05,11.5,34.5,26.5,1.0,0.0,0.0,0.0,0.0,1.0,3.1,4.16,0.0
107,0,0,0,0,0,5.0,13.5,5.05,13.5,18.25,33.0,1.0,0.0,0.0,0.0,0.0,1.0,3.1499999,3.1399999,0.0
108,0,0,0,0,0,5.0,13.5,5.05,14.0,24.5,,1.0,0.0,0.0,0.0,0.0,1.0,4.17,2.99,0.0
109,0,0,1,0,0,5.5,12.5,5.05,12.5,20.0,20.5,1.0,0.0,1.0,0.0,0.0,0.0,3.1599998,3.17,0.0
110,1,0,1,0,0,5.0,16.0,5.5,16.0,16.0,24.5,1.0,0.0,1.0,0.0,0.0,0.0,3.08,3.17,0.0
111,0,0,1,0,0,5.0,10.0,5.05,10.0,17.5,16.0,1.0,0.0,0.0,1.0,0.0,0.0,4.42,4.37,0.0
112,0,0,0,0,0,5.0,11.5,5.05,12.5,20.5,,1.0,0.0,0.0,0.0,0.0,1.0,2.71,3.1499999,0.0
113,0,0,0,0,0,5.0,14.0,5.05,12.5,20.0,23.5,1.0,0.0,0.0,0.0,0.0,1.0,3.1,4.27,0.0
114,1,0,1,0,0,5.0,11.0,5.05,11.0,12.25,13.0,1.0,0.0,0.0,1.0,0.0,0.0,4.25,4.16,0.0
115,0,0,1,0,0,5.25,16.0,5.05,16.0,33.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,2.8400002,3.0,0.0
116,0,0,1,0,0,5.5,17.0,5.05,15.0,31.5,22.0,1.0,0.0,0.0,0.0,1.0,0.0,3.1799998,3.21,0.0
117,0,0,1,0,0,5.5,12.5,5.5,12.0,,28.5,1.0,0.0,0.0,0.0,0.0,1.0,2.96,,0.0
118,0,0,1,0,0,5.37,11.5,,,18.0,,1.0,0.0,0.0,0.0,0.0,1.0,2.96,,0.0
119,0,0,1,0,0,5.05,12.5,5.05,12.5,28.0,25.5,1.0,0.0,0.0,0.0,0.0,1.0,2.82,3.1399999,0.0
120,0,0,0,0,0,5.0,16.0,5.28,16.0,16.5,18.0,1.0,0.0,1.0,0.0,0.0,0.0,2.96,2.96,0.0
121,0,0,0,0,0,5.12,14.0,5.25,14.0,14.75,9.0,1.0,0.0,1.0,0.0,0.0,0.0,2.96,2.95,0.0
122,0,0,0,0,0,5.25,17.0,5.05,17.0,23.5,26.5,1.0,0.0,1.0,0.0,0.0,0.0,2.96,2.9299998,0.0
123,0,0,0,0,0,5.0,15.0,,,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.94,,1.0
124,0,0,0,0,0,5.12,15.0,5.05,15.0,46.5,23.75,1.0,0.0,1.0,0.0,0.0,0.0,3.1399999,3.04,0.0
125,0,0,0,0,0,5.0,12.0,5.5,11.0,15.5,18.0,1.0,0.0,0.0,1.0,0.0,0.0,4.1,4.25,0.0
126,1,0,0,0,0,5.0,17.0,5.05,17.0,24.5,36.0,1.0,0.0,0.0,0.0,1.0,0.0,3.1999998,3.2199998,0.0
127,1,0,0,0,0,5.0,16.5,5.05,15.0,24.0,21.0,1.0,0.0,0.0,0.0,1.0,0.0,3.33,,0.0
128,1,0,0,0,0,5.0,19.0,5.05,17.0,23.0,15.5,1.0,0.0,0.0,0.0,1.0,0.0,3.1999998,3.2199998,0.0
129,0,0,0,0,0,5.0,12.5,5.05,12.5,28.0,22.5,1.0,0.0,0.0,0.0,0.0,1.0,3.0099998,3.08,0.0
130,1,0,0,0,0,5.0,16.0,5.05,16.0,32.5,27.0,1.0,0.0,1.0,0.0,0.0,0.0,3.08,3.21,0.0
131,1,0,0,0,0,5.0,16.0,5.05,16.0,23.0,34.0,1.0,0.0,1.0,0.0,0.0,0.0,3.2,3.58,0.0
132,0,0,0,0,0,5.62,15.0,5.05,15.0,17.0,16.75,1.0,0.0,0.0,0.0,1.0,0.0,3.27,3.2199998,0.0
133,1,0,0,0,0,5.0,16.0,5.05,15.0,30.0,26.0,1.0,0.0,0.0,0.0,1.0,0.0,3.15,3.8,0.0
134,1,0,0,0,0,5.0,11.5,5.05,12.5,21.5,18.0,1.0,0.0,0.0,0.0,0.0,1.0,2.86,4.0099998,0.0
135,0,0,0,0,0,5.0,17.0,5.05,17.0,32.0,20.5,1.0,0.0,1.0,0.0,0.0,0.0,2.77,2.9499998,0.0
136,0,0,0,0,0,5.0,16.0,5.05,16.0,8.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,,2.6299999,0.0
137,1,0,0,0,0,5.1,17.0,5.05,17.0,35.5,25.5,1.0,0.0,0.0,0.0,1.0,0.0,3.2599998,3.15,0.0
